variable_name,event_definition,code,coding_system,code_name,concept,concept_name,tags,system,event_abbreviation,type
C_AMI_AESI,Acute myocardial Infarction,AMI_narrow,free_text,,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21,ICD10,Acute myocardial infarction,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.9,ICD10,"Acute myocardial infarction, unspecified",,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.4,ICD10,Acute subendocardial myocardial infarction  ,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.0,ICD10,Acute transmural myocardial infarction of anterior wall,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.1,ICD10,Acute transmural myocardial infarction of inferior wall,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.2,ICD10,Acute transmural myocardial infarction of other sites  ,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.3,ICD10,Acute transmural myocardial infarction of unspecified site,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I23.3,ICD10,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction,C0348867,Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I22.0,ICD10,Subsequent myocardial infarction of anterior wall  ,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I22.1,ICD10,Subsequent myocardial infarction of inferior wall  ,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I22.8,ICD10,Subsequent myocardial infarction of other sites  ,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I22.9,ICD10,Subsequent myocardial infarction of unspecified site  ,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21,ICD10CM,Acute myocardial infarction,C0155626,Acute myocardial infarction,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.9,ICD10CM,"Acute myocardial infarction, unspecified",C0155626,Acute myocardial infarction,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.4,ICD10CM,Non-ST elevation (NSTEMI) myocardial infarction,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I23.3,ICD10CM,Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction,C0348867,Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.02,ICD10CM,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.21,ICD10CM,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.01,ICD10CM,ST elevation (STEMI) myocardial infarction involving left main coronary artery,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.09,ICD10CM,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.19,ICD10CM,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.29,ICD10CM,ST elevation (STEMI) myocardial infarction involving other sites,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.11,ICD10CM,ST elevation (STEMI) myocardial infarction involving right coronary artery,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.0,ICD10CM,ST elevation (STEMI) myocardial infarction of anterior wall,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.1,ICD10CM,ST elevation (STEMI) myocardial infarction of inferior wall,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.2,ICD10CM,ST elevation (STEMI) myocardial infarction of other sites,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21.3,ICD10CM,ST elevation (STEMI) myocardial infarction of unspecified site,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I22.0,ICD10CM,Subsequent myocardial infarction of anterior wall  ,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I22.1,ICD10CM,Subsequent myocardial infarction of inferior wall  ,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I22.8,ICD10CM,Subsequent myocardial infarction of other sites  ,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I22.9,ICD10CM,Subsequent myocardial infarction of unspecified site  ,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21,ICD10CM,cardiac infarction,C0027051,Myocardial Infarction,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I22,ICD10CM,cardiac infarction,C0027051,Myocardial Infarction,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I21,ICD10DA,Acute myocardial infarction,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I219,ICD10DA,Acute myocardial infarction UNS,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I210B,ICD10DA,Anterior ST-elevation acute myocardial infarction with Q-wave development,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I210,ICD10DA,Anterior acute myocardial infarction with Q wave development,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I210A,ICD10DA,Anterior non-ST-elevation acute myocardial infarction with Q-wave development,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I211B,ICD10DA,Inferior or posterior ST-elevation acute myocardial infarction with Q-wave dev,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I211,ICD10DA,Inferior or posterior acute myocardial infarction with Q wave,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I211A,ICD10DA,Inferior or posterior non-ST-elevation acute myocardial infarction with Q-wave,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I214,ICD10DA,Non-ST elevation acute myocardial infarction,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I213,ICD10DA,ST elevation acute myocardial infarction,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I213A,ICD10DA,"ST-elevation acute myocardial infarction, anterior",,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I213C,ICD10DA,"ST-elevation acute myocardial infarction, bundle branch block",,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I213B,ICD10DA,"ST-elevation acute myocardial infarction, inferior/posterior",,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I220,ICD10DA,Subsequent myocardial infarction of anterior wall  ,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I221,ICD10DA,Subsequent myocardial infarction of inferior wall  ,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I228,ICD10DA,Subsequent myocardial infarction of other sites  ,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I229,ICD10DA,Subsequent myocardial infarction of unspecified site  ,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,I219A,ICD10DA,Type 2 myocardial infarction,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,410,ICD9CM,Acute myocardial infarction,C0155626,Acute myocardial infarction,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,410,ICD9CM,Acute myocardial infarction of anterolateral wall,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,410,ICD9CM,"Acute myocardial infarction of anterolateral wall, episode of care unspecified  410.00",,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,410.01,ICD9CM,"Acute myocardial infarction of anterolateral wall, initial episode of care  410.01",,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,410.02,ICD9CM,"Acute myocardial infarction of anterolateral wall, subsequent episode of care  410.02",,,possible,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,410.2,ICD9CM,Acute myocardial infarction of inferolateral wall,,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,410.2,ICD9CM,"Acute myocardial infarction of inferolateral wall, episode of care unspecified  410.20",,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,410.21,ICD9CM,"Acute myocardial infarction of inferolateral wall, initial episode of care  410.21",,,narrow,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,410.22,ICD9CM,"Acute myocardial infarction of inferolateral wall, subsequent episode of care  410.22",,,possible,C,AMI,AESI
C_AMI_AESI,Acute myocardial Infarction,410.3,ICD9CM,Acute myocardial infarction of inferoposterior wall,,,narrow,C,AMI,AESI
